_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad
83.857,-5.5105278,1534,05 35 25.68,-05 30 37.9,12.39,0.02,11.53,0.03,11.03,0.02,10.32,0.01,9.92,0.01,9.5,0.02,8.86,0.02,,,0.07,-1.16,D,2M,Simbad
83.8782083,-5.51,1535,05 35 30.77,-05 30 36.0,12.31,0.02,11.51,0.03,11.03,0.02,10.28,0.01,9.92,0.01,9.53,0.01,8.81,0.01,,,0.0,-1.15,D,2M,Simbad
83.312125,-5.5092778,1536,05 33 14.91,-05 30 33.4,12.7,0.03,12.08,0.03,11.81,0.02,11.49,0.01,11.35,0.01,11.12,0.02,10.39,0.03,6.19,0.02,0.0,-1.58,D,2M,Simbad
83.8007917,-5.5091389,1537,05 35 12.19,-05 30 32.9,12.99,0.02,11.5,0.03,10.49,0.02,8.99,0.01,8.57,0.01,8.32,0.01,7.58,0.01,5.22,0.03,0.5,-1.26,D,2M,Simbad
83.6190833,-5.509,1538,05 34 28.58,-05 30 32.4,14.86,0.04,14.1,0.04,13.59,0.04,12.87,0.01,12.36,0.01,12.11,0.02,11.49,0.05,,,0.0,-1.31,D,2M,Simbad
83.8327083,-5.5089167,1539,05 35 19.85,-05 30 32.1,12.97,0.03,12.29,0.04,11.9,0.03,11.37,0.02,10.98,0.01,,,,,,,0.0,,D,2M,Simbad
83.7402917,-5.5082222,1540,05 34 57.67,-05 30 29.6,14.78,0.03,13.89,0.04,13.36,0.03,12.52,0.01,12.24,0.01,,,,,,,0.08,,D,2M,Simbad
83.8132917,-5.5073333,1541,05 35 15.19,-05 30 26.4,,,,,,,12.68,0.02,11.97,0.01,11.6,0.09,,,,,,,D,2M,Simbad
83.8634167,-5.5068333,1542,05 35 27.22,-05 30 24.6,12.18,0.02,11.38,0.03,11.05,0.02,10.54,0.01,10.24,0.01,9.83,0.01,8.99,0.01,,,0.1,-1.05,D,2M,Simbad
83.8869167,-5.5059167,1543,05 35 32.86,-05 30 21.3,11.39,0.02,10.46,0.04,9.85,0.02,9.08,0.01,8.79,0.01,8.61,0.01,7.88,0.01,4.47,0.03,0.06,-1.5,D,2M,Simbad
83.856875,-5.5057778,1544,05 35 25.65,-05 30 20.8,11.02,0.03,10.25,0.04,9.7,0.02,9.23,0.01,8.83,0.01,8.28,0.01,7.36,0.01,4.04,0.03,0.0,-0.67,D,2M,Simbad
83.8006667,-5.5055556,1545,05 35 12.16,-05 30 20.0,13.18,0.02,12.38,0.04,11.92,0.02,11.27,0.01,10.86,0.01,10.54,0.03,9.78,0.02,,,0.02,-1.16,D,2M,Simbad
83.547875,-5.5055278,1546,05 34 11.49,-05 30 19.9,13.55,0.03,12.87,0.05,12.45,0.02,12.06,0.01,11.91,0.01,11.97,0.05,,,,,0.0,,D,2M,Simbad
83.6952917,-5.5055278,1547,05 34 46.87,-05 30 19.9,15.71,0.06,15.0,0.08,14.75,0.08,14.51,0.03,14.17,0.03,,,,,,,0.06,,D,2M,Simbad
83.5814583,-5.5055,1548,05 34 19.55,-05 30 19.8,11.03,0.02,10.09,0.03,9.45,0.02,8.43,0.01,8.09,0.01,7.72,0.01,6.59,0.01,3.22,0.01,0.06,-0.74,D,2M,Simbad
84.016125,-5.50525,1549,05 36 03.87,-05 30 18.9,13.54,0.03,12.84,0.04,12.51,0.03,11.81,0.01,11.61,0.01,11.2,0.03,10.21,0.05,,,0.0,-0.98,D,2M,Simbad
83.8590833,-5.5049722,1550,05 35 26.18,-05 30 17.9,12.45,0.06,11.54,0.07,11.0,0.05,9.97,0.01,9.47,0.01,9.08,0.01,8.1,0.01,5.57,0.12,0.1,-0.73,D,2M,Simbad
83.8603333,-5.5045,1551,05 35 26.48,-05 30 16.2,12.91,0.02,12.23,0.03,11.81,0.02,11.1,0.01,10.71,0.01,10.25,0.01,9.35,0.01,,,0.0,-0.82,D,2M,Simbad
83.9711667,-5.5029722,1552,05 35 53.08,-05 30 10.7,15.6,0.06,14.96,0.07,14.69,0.08,14.09,0.03,13.91,0.03,,,,,,,0.0,,D,2M,Simbad
83.7009583,-5.5028333,1553,05 34 48.23,-05 30 10.2,14.49,0.03,13.76,0.04,13.36,0.03,12.81,0.01,12.51,0.01,12.11,0.04,11.24,0.03,,,0.0,-1.03,D,2M,Simbad
83.7932917,-5.5021667,1554,05 35 10.39,-05 30 07.8,14.36,0.03,13.52,0.03,12.94,0.02,12.32,0.02,12.08,0.01,11.32,0.09,9.97,0.08,,,0.0,-0.05,D,2M,Simbad
83.6660417,-5.5017778,1555,05 34 39.85,-05 30 06.4,,,,,10.57,0.07,9.69,0.01,9.21,0.01,8.87,0.01,7.86,0.01,4.57,0.02,,-0.78,D,2M,Simbad
83.8159583,-5.5015278,1556,05 35 15.83,-05 30 05.5,,,,,,,10.71,0.01,10.26,0.01,9.68,0.01,8.79,0.01,,,,-0.61,D,2M,Simbad
83.7624167,-5.5004167,1557,05 35 02.98,-05 30 01.5,10.33,0.02,9.51,0.03,9.22,0.02,9.01,0.01,8.99,0.01,8.83,0.01,8.76,0.03,5.39,0.04,0.17,-2.52,D,2M,Simbad
83.3799583,-5.4992778,1558,05 33 31.19,-05 29 57.4,13.45,0.02,12.76,0.03,12.44,0.02,12.07,0.01,11.81,0.01,11.63,0.03,10.57,0.05,7.24,0.04,0.0,-1.17,D,2M,Simbad
83.8509583,-5.4991667,1559,05 35 24.23,-05 29 57.0,12.39,0.02,11.36,0.03,10.79,0.02,9.91,0.01,9.58,0.01,9.28,0.01,8.59,0.03,,,0.21,-1.34,D,2M,Simbad
83.8107917,-5.4986667,1560,05 35 14.59,-05 29 55.2,15.8,0.08,13.94,0.05,12.77,0.02,11.74,0.01,11.22,0.01,10.76,0.04,10.04,0.04,,,0.84,-0.89,D,2M,Simbad
83.8550833,-5.4976944,1561,05 35 25.22,-05 29 51.7,13.09,0.02,12.39,0.03,12.1,0.02,11.38,0.01,11.07,0.01,10.74,0.02,9.81,0.03,,,0.03,-1.05,D,2M,Simbad
83.7193333,-5.4958889,1562,05 34 52.64,-05 29 45.2,11.99,0.02,11.07,0.03,10.53,0.02,9.83,0.01,9.53,0.01,9.06,0.01,8.38,0.01,,,0.1,-1.14,D,2M,Simbad
83.9985833,-5.4954167,1563,05 35 59.66,-05 29 43.5,10.86,0.02,9.69,0.04,8.86,0.03,7.81,0.01,7.4,0.01,,,6.37,0.01,3.44,0.02,0.22,,D,2M,Simbad
83.9686667,-5.4949167,1564,05 35 52.48,-05 29 41.7,15.86,0.06,14.07,0.05,13.04,0.03,12.05,0.01,11.81,0.01,11.29,0.06,,,,,0.85,,D,2M,Simbad
84.3671667,-5.4947778,1565,05 37 28.12,-05 29 41.2,,,,,,,15.24,0.04,14.89,0.04,12.73,0.05,10.8,0.03,6.78,0.03,,2.6,D,2M,Simbad
83.7419167,-5.4945278,1566,05 34 58.06,-05 29 40.3,13.92,0.03,12.85,0.04,12.26,0.03,11.52,0.01,11.14,0.01,10.85,0.04,10.01,0.04,,,0.26,-1.14,D,2M,Simbad
83.8845417,-5.4945,1567,05 35 32.29,-05 29 40.2,16.51,0.11,14.93,0.06,14.02,0.05,12.65,0.01,12.12,0.01,11.09,0.03,9.41,0.03,,,0.67,0.96,D,2M,Simbad
83.95575,-5.4942778,1568,05 35 49.38,-05 29 39.4,,,14.73,0.07,12.85,0.05,10.69,0.04,10.11,0.01,9.1,0.1,,,,,2.35,,D,2M,Simbad
83.7688333,-5.4939722,1569,05 35 04.52,-05 29 38.3,11.7,0.03,10.94,0.04,10.48,0.03,9.72,0.01,9.39,0.01,9.2,0.01,8.69,0.01,,,0.0,-1.69,D,2M,Simbad
83.8570833,-5.4931111,1570,05 35 25.70,-05 29 35.2,13.73,0.02,13.06,0.03,12.63,0.02,11.99,0.01,11.69,0.01,11.34,0.03,10.65,0.05,,,0.0,-1.3,D,2M,Simbad
84.369625,-5.4928889,1571,05 37 28.71,-05 29 34.4,,,,,,,15.13,0.06,14.72,0.06,12.63,0.08,10.68,0.05,6.42,0.03,,2.59,D,2M,Simbad
83.7997083,-5.4923889,1572,05 35 11.93,-05 29 32.6,14.96,0.04,14.13,0.04,13.67,0.03,13.26,0.04,13.03,0.02,,,,,,,0.06,,D,2M,Simbad
83.818,-5.4923889,1573,05 35 16.32,-05 29 32.6,16.01,0.09,13.66,0.04,11.76,0.02,9.48,0.01,8.66,0.01,8.02,0.01,7.1,0.01,3.64,0.05,0.94,-0.13,P,2M,Simbad
83.8665,-5.492,1574,05 35 27.96,-05 29 31.2,13.14,0.02,11.51,0.03,10.33,0.02,8.65,0.01,8.07,0.01,7.73,0.01,6.94,0.01,4.31,0.03,0.53,-0.93,D,2M,Simbad
83.7647917,-5.4906111,1575,05 35 03.55,-05 29 26.2,12.35,0.03,11.28,0.03,10.58,0.02,9.61,0.01,9.23,0.01,8.86,0.02,8.36,0.03,,,0.19,-1.4,D,2M,Simbad
83.7734167,-5.4895278,1576,05 35 05.62,-05 29 22.3,13.12,0.03,11.57,0.03,10.5,0.02,8.95,0.01,8.26,0.01,7.72,0.01,6.87,0.01,3.58,0.02,0.52,-0.47,D,2M,Simbad
83.8554167,-5.4867778,1577,05 35 25.30,-05 29 12.4,15.58,0.08,14.73,0.06,14.15,0.05,13.43,0.02,13.02,0.02,,,,,,,0.0,,D,2M,Simbad
83.833375,-5.4866667,1578,05 35 20.01,-05 29 12.0,13.69,0.05,12.31,0.05,11.47,0.04,10.53,0.02,10.15,0.01,,,,,,,0.48,,D,2M,Simbad
83.8353333,-5.4863889,1579,05 35 20.48,-05 29 11.0,13.55,0.04,12.8,0.04,12.41,0.04,12.03,0.02,11.78,0.01,,,,,,,0.01,,D,2M,Simbad
83.8710833,-5.48625,1580,05 35 29.06,-05 29 10.5,11.6,0.03,10.71,0.04,10.33,0.03,9.12,0.01,8.77,0.01,8.27,0.01,7.25,0.03,,,0.19,-0.68,D,2M,Simbad
83.759,-5.486,1581,05 35 02.16,-05 29 09.6,12.03,0.02,11.07,0.03,10.59,0.02,9.81,0.01,9.62,0.01,9.17,0.02,8.72,0.03,,,0.21,-1.53,D,2M,Simbad
83.793,-5.4843056,1582,05 35 10.32,-05 29 03.5,15.42,0.04,14.21,0.03,13.38,0.02,12.26,0.02,11.75,0.01,,,,,,,0.26,,D,2M,Simbad
83.7065833,-5.48425,1583,05 34 49.58,-05 29 03.3,12.05,0.03,11.08,0.03,10.53,0.02,10.25,0.01,9.6,0.01,9.21,0.01,7.98,0.01,4.3,0.02,0.18,-0.31,D,2M,Simbad
83.7663333,-5.4842222,1584,05 35 03.92,-05 29 03.2,11.24,0.02,10.44,0.03,10.12,0.02,9.49,0.01,9.11,0.01,8.83,0.02,8.05,0.02,3.52,0.03,0.13,-1.22,D,2M,Simbad
83.7205417,-5.4831111,1585,05 34 52.93,-05 28 59.2,13.07,0.03,12.41,0.03,12.02,0.02,11.31,0.01,10.93,0.01,10.24,0.02,8.92,0.02,,,0.0,-0.06,D,2M,Simbad
