_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad
83.8210833,-5.4828611,1586,05 35 17.06,-05 28 58.3,,,,,,,11.09,0.01,10.77,0.01,10.49,0.03,9.3,0.03,,,,-0.83,D,2M,Simbad
83.71425,-5.4825,1587,05 34 51.42,-05 28 57.0,15.02,0.04,13.98,0.04,13.22,0.03,12.29,0.01,11.92,0.01,11.57,0.04,,,,,0.11,,D,2M,Simbad
83.8162083,-5.4813056,1588,05 35 15.89,-05 28 52.7,,,,,,,9.53,0.01,9.28,0.01,8.97,0.01,8.31,0.04,,,,-1.44,D,2M,Simbad
83.5536667,-5.4799722,1589,05 34 12.88,-05 28 47.9,12.09,0.02,11.39,0.03,11.22,0.02,11.19,0.01,11.17,0.01,11.09,0.02,10.81,0.06,5.83,0.02,0.09,-2.39,D,2M,Simbad
83.742375,-5.4798889,1590,05 34 58.17,-05 28 47.6,15.3,0.04,14.3,0.05,13.68,0.03,12.91,0.03,12.46,0.02,,,,,,,0.16,,D,2M,Simbad
83.8262083,-5.4795278,1591,05 35 18.29,-05 28 46.3,12.36,0.02,11.48,0.03,11.09,0.02,10.63,0.01,10.27,0.01,9.31,0.02,,,,,0.17,,D,2M,Simbad
83.806875,-5.4795,1592,05 35 13.65,-05 28 46.2,12.44,0.02,11.33,0.03,10.84,0.02,10.11,0.01,9.77,0.01,9.39,0.02,8.8,0.04,,,0.38,-1.33,D,2M,Simbad
83.79975,-5.4791944,1593,05 35 11.94,-05 28 45.1,16.05,0.08,14.28,0.07,13.21,0.03,12.28,0.02,12.07,0.02,,,,,,,0.8,,D,2M,Simbad
83.809125,-5.4786667,1594,05 35 14.19,-05 28 43.2,13.14,0.03,11.36,0.03,10.61,0.02,9.6,0.01,9.28,0.01,9.06,0.01,8.6,0.04,,,1.06,-1.71,D,2M,Simbad
83.7410833,-5.4782778,1595,05 34 57.86,-05 28 41.8,14.04,0.04,13.0,0.04,12.26,0.02,11.15,0.01,10.59,0.01,10.0,0.04,9.11,0.04,,,0.11,-0.49,D,2M,Simbad
83.5655417,-5.4775833,1596,05 34 15.73,-05 28 39.3,16.6,0.12,15.59,0.12,15.29,0.13,15.73,0.06,15.33,0.08,,,,,6.36,0.03,0.38,,D,2M,Simbad
