angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
1.245356,65.1075,28.278056,28,042025.8+281641,w,,,9.45,0.05,,9.39,0.05,,9.31,0.05,,9.31,0.05,,8.81,0.09,>,1.13,,>,-0.54,,,no,yes,no,no,,1,,B,yso,star,III,G2:,3.1,1.0,-0.2,,1.6E-4,needs add'l followup,b,65.1075,28.2781,164545351071767168,65.10786786912,28.27817730345,168.11210600,167.66503900,168.64587400,167.89650000,167.33218400,168.35456800,10033
1.194790,65.108333,28.068889,29,042026.0+280408,M,,,9.4,0.05,,9.03,0.05,,8.61,0.05,,7.02,0.05,,3.26,0.04,,0.85,0.22,>,0.42,,yes,yes,yes,yes,yes,,1,,A+,yso,class II,II,M2,-5.3,0.0,-0.7,,0.26,new member,"b,c,f,k,l",65.1083,28.0689,164445437248152832,65.10865183708,28.06906506380,127.16467300,126.90953800,127.48757900,127.24200400,126.99460600,127.48687000,10033
0.831511,65.28875,27.843333,30,042109.3+275036,M,,,9.96,0.05,,9.78,0.05,,9.6,0.05,,9.22,0.05,,7.17,0.05,>,1.53,,>,-1.65,,,yes,yes,yes,yes,,1,,A+,yso,class II,III,M3-4e,-17.6,0.0,-1.0,,0.02,new member,"b,c,f,k,l",65.2887,27.8433,152416436443721728,65.28900585646,27.84337955292,129.45819100,128.72464000,130.27194200,129.35087600,128.66272000,130.11279300,10033
1.527799,65.295417,25.883056,31,042110.9+255259,w,V412 Tau,<,6.62,,<,6.1,,,5.37,0.05,,5.17,0.05,,4.33,0.04,>,1.21,,>,0.02,,,yes,yes,,,,1,V412 Tau,B,,,III,A1,9.2,8.3,2.1,,7.1E-5,needs add'l followup,"b,l",65.2954,25.8831,150529811929875328,65.29580477961,25.88329763738,1383.86169000,1257.05762000,1517.19019000,,,,10000
0.529950,65.398333,25.643056,32,042135.6+253835,p,,,12.22,0.05,,12.18,0.06,,12.15,0.06,,11.5,0.06,,9.44,0.25,>,1.01,,>,-0.28,,,yes,no,no,no,,1,,B,not yso,star,III,F6-G0,3.1,1.2,-1.2,,0.0043,"possible,new member","b,n",65.3983,25.6431,150474870708253568,65.39837789386,25.64319753549,1402.55920000,1349.31726000,1456.50049000,1398.37329000,1346.35498000,1459.04968000,10033
0.174911,65.442917,24.418056,33,042146.3+242505,w,,,7.73,0.05,,7.8,0.05,,7.57,0.05,,7.43,0.05,,6.71,0.05,>,1.19,,>,1.12,,,yes,yes,no,no,,1,,B+,yso,star,III,M3,0.0,2.9,0.1,<,2.3E-4,needs add'l followup,"b,k",65.4429,24.4181,149492147830467968,65.44290227555,24.41810269977,3820.17212000,3365.11255000,4386.48145000,4939.52002000,4550.93799000,5445.66113000,10033
0.787745,65.50375,23.908333,35,042200.9+235430,w,,,7.74,0.05,,7.85,0.05,,7.66,0.05,,7.53,0.05,,7.01,0.05,>,1.24,,>,0.68,,,no,yes,no,no,,1,,B+,yso,star,III,M3,0.0,3.7,0.2,<,4.6E-5,needs add'l followup,"b,k,l",65.5037,23.9083,149271283433272320,65.50398878671,23.90834808099,4806.63428000,4264.14307000,5335.22119000,5319.25928000,4943.03369000,5658.74365000,10033
1.204640,65.55375,25.783056,36,042212.9+254659,w,,,12.58,0.05,,11.84,0.05,,11.2,0.06,,10.36,0.06,,7.24,0.05,>,1.21,,>,-0.14,,,no,no,yes-faint,yes,,1,,B-,yso,class II,flat,,,,,,,pending followup,"e,l",65.5537,25.7831,150477683908962048,65.55401584092,25.78328981911,1936.92249000,1281.43164000,3089.72998000,1518.08679000,1323.87573000,1757.01843000,10033
1.373749,65.565,26.951667,37,042215.6+265706,M,2MASS J04221568+2657060,,11.12,0.05,,10.55,0.05,,10.2,0.06,,9.75,0.05,,3.81,0.04,,-0.51,0.22,>,-1.95,,yes,yes,yes-faint,yes,yes,,1,2MASS J04221568+2657060,A+,yso,class II,I,K8-M0,-7.8,4.5,-1.5,,0.65,new member,"b,c,f,g,h,i,l",65.565,26.9517,152293359861143040,65.56542705251,26.95164042001,343.80169700,290.89913900,402.34576400,367.02624500,317.45318600,409.79724100,10033
0.759892,65.587083,26.713333,38,042220.9+264248,w,,,13.63,0.06,,12.59,0.06,,11.64,0.06,,10.56,0.06,,6.95,0.05,>,1.51,,>,-3.74,,,no,no,yes-faint,no,,1,,A,yso,embedded,I,,,,,,,pending followup,,65.5871,26.7133,152092729051743872,65.58705614528,26.71354271360,2363.85840000,1445.51746000,4154.64160000,4244.68408000,3606.37280000,5204.59033000,10033
1.323579,65.699167,26.764722,39,042247.8+264553,M,IRAS04196+2638,,8.07,0.05,,7.55,0.05,,7.14,0.05,,6.28,0.05,,3.23,0.04,,0.96,0.22,>,-0.49,,yes,yes,yes,yes,yes,"g,i",1,IRAS F04196+2638,A+,yso,class II,II,M1,,6.9,-0.4,,0.24,new member,"d,f,l",65.6992,26.7647,152098299625634816,65.69955909286,26.76460968539,153.78096000,152.33250400,155.47526600,153.48461900,151.87075800,154.82942200,10033
0.103007,65.7275,28.398333,40,042254.6+282354,P,NSV 1577,,7.39,0.05,,7.38,0.05,,7.32,0.05,,7.23,0.05,,4.81,0.04,,0.96,0.22,>,-1.02,,yes,yes,yes,no,no,,1,NSV 1577,A,yso,star,II,A0,10.0,1.5,1.4,,6.0E-4,"probable,new member","b,m",65.7275,28.3983,164559030544339584,65.72753224548,28.39833675794,182.43528700,181.56057700,183.21502700,182.58151200,181.74797100,183.28324900,10022
1.197039,65.775,28.021944,41,042306.0+280119,M,J04230607+2801194,,10.62,0.05,,10.31,0.05,,9.94,0.06,,9.34,0.05,,6.43,0.05,>,0.64,,>,0.31,,,yes,yes,yes,yes,i,1,2MASS J04230607+2801194,A+,yso,class II,II,M6,,0.0,-1.5,,0.1,new member,"f,l",65.775,28.0219,152516079683687680,65.77537447009,28.02197987319,128.35510300,127.32836900,129.64152500,128.81579600,127.46874200,129.88143900,10022
