angDist,_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
0.116218,85.634625,-10.0048056,39,05 42 32.31,-10 00 17.3,15.37,0.04,14.62,0.05,14.07,0.07,13.46,0.01,13.12,0.01,12.58,0.03,11.79,0.02,,,0.0,-0.89,D,2M,Simbad,3011905567905394944,85.63461669416,-10.00483682945,416.23455800,356.56622300,482.53903200,535.19281000,459.03265400,681.73675500,10033
0.354484,85.65425,-9.99375,45,05 42 37.02,-09 59 37.5,12.56,0.02,11.54,0.02,10.83,0.02,9.59,0.01,9.1,0.01,8.68,0.01,8.03,0.01,5.32,0.01,0.11,-1.06,D,2M,Simbad,3011905984518524544,85.65422979731,-9.99384643667,949.02050800,637.92523200,1458.74536000,668.56628400,482.25189200,1012.36243000,10033
0.349287,85.6493333,-9.9819444,47,05 42 35.84,-09 58 55.0,9.97,0.02,8.96,0.02,8.23,0.05,7.47,0.01,7.14,0.01,6.85,0.01,6.34,0.01,3.34,0.01,0.09,-1.55,D,2M,Simbad,3011906053237698432,85.64931449030,-9.98203963931,412.87680100,400.94494600,427.42398100,409.78765900,398.52993800,420.34997600,10033
0.444924,85.6775833,-9.9775278,48,05 42 42.62,-09 58 39.1,14.67,0.04,13.88,0.03,13.48,0.04,13.16,0.01,13.0,0.01,12.75,0.03,12.2,0.03,9.41,0.16,0.04,-1.72,D,2M,Simbad,3011906117660968320,85.67761607705,-9.97764709952,484.44351200,445.90914900,526.22644000,486.16705300,446.91998300,528.79632600,10011
0.310905,85.5433333,-9.9771944,49,05 42 10.40,-09 58 37.9,13.0,0.02,11.71,0.02,11.05,0.02,10.23,0.01,9.75,0.01,9.16,0.01,8.27,0.01,4.87,0.01,0.5,-0.57,D,2M,Simbad,3011906770496177664,85.54330456389,-9.97727599360,484.19195600,455.04461700,519.90625000,481.89257800,457.72274800,508.97824100,10033
0.252660,85.7398333,-9.9733333,50,05 42 57.56,-09 58 24.0,14.97,0.05,14.2,0.05,13.79,0.05,13.24,0.01,12.9,0.01,12.55,0.02,11.79,0.03,9.18,0.15,0.01,-1.19,D,2M,Simbad,3011895706660647040,85.73983854108,-9.97340329313,472.86941500,424.69375600,524.72302200,445.40780600,403.30691500,527.94390900,10033
0.301138,85.631875,-9.9614167,51,05 42 31.65,-09 57 41.1,12.85,0.03,11.7,0.03,11.13,0.02,10.28,0.01,9.86,0.01,9.44,0.01,8.94,0.01,6.33,0.02,0.39,-1.29,D,2M,Simbad,3011906328115691520,85.63188081525,-9.96150015309,2513.49536000,1692.84814000,4112.44092000,1303.51758000,1076.89954000,1642.46619000,10033
0.414013,85.7155833,-9.9613056,52,05 42 51.74,-09 57 40.7,13.55,0.03,12.07,0.02,11.51,0.02,10.85,0.01,10.67,0.01,10.64,0.01,10.37,0.01,5.43,0.02,0.8,-2.31,D,2M,Simbad,3011895878459343616,85.71561935544,-9.96141498333,487.14569100,432.05038500,571.64227300,441.11264000,407.74267600,476.19851700,10012
0.217978,85.5119167,-9.9533611,54,05 42 02.86,-09 57 12.1,14.71,0.04,13.35,0.04,12.68,0.04,11.92,0.01,11.46,0.01,10.87,0.01,10.11,0.01,7.67,0.04,0.58,-0.73,D,2M,Simbad,3011909867168961408,85.51194405027,-9.95341532672,463.48678600,389.03521700,569.62994400,465.53512600,396.81829800,540.24548300,10033
0.393984,85.5587917,-9.9389167,55,05 42 14.11,-09 56 20.1,11.24,0.04,10.17,0.05,9.39,0.04,8.55,0.01,8.08,0.01,,,,,3.25,0.01,0.13,,D,2M,Simbad,3011907015310374528,85.55883394172,-9.93901792216,436.65606700,430.18682900,442.76510600,435.34173600,429.46951300,439.68746900,10033
2.089686,85.5587917,-9.9389167,55,05 42 14.11,-09 56 20.1,11.24,0.04,10.17,0.05,9.39,0.04,8.55,0.01,8.08,0.01,,,,,3.25,0.01,0.13,,D,2M,Simbad,3011907015309383808,85.55835053126,-9.93853184766,330.99731400,291.78595000,382.08624300,373.77841200,338.05166600,437.83258100,10033
0.195419,85.5590833,-9.9368889,56,05 42 14.18,-09 56 12.8,,,,,12.34,0.15,10.78,0.01,10.06,0.01,9.34,0.01,8.56,0.01,5.42,0.02,,-0.27,D,2M,Simbad,3011907011014752000,85.55909681905,-9.93694152442,502.06408700,398.42099000,631.43512000,519.42901600,418.39279200,622.91119400,10033
0.424986,85.674,-9.9356389,57,05 42 41.76,-09 56 08.3,16.03,0.08,15.5,0.1,14.83,0.13,14.12,0.01,13.73,0.01,13.36,0.05,13.0,0.04,,,0.0,-1.55,D,2M,Simbad,3011907904367952768,85.67402430447,-9.93575449888,743.25781200,436.74108900,1520.89941000,1293.75110000,821.94909700,1668.23694000,10033
0.168885,85.6634167,-9.92575,59,05 42 39.22,-09 55 32.7,12.57,0.03,11.26,0.02,10.52,0.02,9.48,0.01,9.06,0.01,8.65,0.01,7.86,0.01,4.57,0.01,0.46,-0.98,D,2M,Simbad,3011907977383041920,85.66342257278,-9.92579655455,462.45892300,449.77130100,475.70608500,461.97866800,449.80722000,474.96435500,10033
0.297650,85.6385417,-9.9090833,61,05 42 33.25,-09 54 32.7,12.98,0.02,11.91,0.02,11.46,0.02,10.83,0.01,10.51,0.01,10.1,0.01,9.62,0.01,7.5,0.04,0.38,-1.43,D,2M,Simbad,3011908767657025024,85.63852926583,-9.90916506814,764.14147900,663.55603000,996.83795200,770.39617900,656.29675300,897.96148700,10033
0.427711,85.6935833,-9.9005556,62,05 42 46.46,-09 54 02.0,14.84,0.04,13.03,0.02,12.22,0.02,11.35,0.01,10.96,0.01,10.41,0.01,9.69,0.01,6.2,0.02,1.06,-0.9,D,2M,Simbad,3011908110526383488,85.69362158649,-9.90066826305,396.12454200,282.28622400,857.08612100,2142.73364000,1819.88171000,2532.04297000,10033
0.219785,85.4887917,-9.8996111,63,05 41 57.31,-09 53 58.6,11.89,0.02,11.02,0.02,10.6,0.02,10.19,0.01,9.94,0.01,9.58,0.01,9.18,0.01,6.9,0.02,0.15,-1.66,D,2M,Simbad,3011911104119183360,85.48881823265,-9.89966627337,170.48140000,147.74661300,211.01272600,160.08732600,142.14097600,183.15115400,10033
0.190774,85.5917917,-9.8901389,64,05 42 22.03,-09 53 24.5,14.01,0.03,12.84,0.02,12.11,0.02,11.35,0.01,10.85,0.01,10.37,0.01,9.77,0.01,7.34,0.03,0.28,-1.02,D,2M,Simbad,3011910520003683712,85.59181117359,-9.89018829852,974.13641400,708.80572500,1540.63538000,826.90966800,579.67834500,1420.58533000,10012
0.075982,85.6280417,-9.8841944,65,05 42 30.73,-09 53 03.1,13.36,0.05,11.97,0.05,11.15,0.03,9.73,0.01,9.24,0.01,8.81,0.01,8.3,0.01,6.12,0.02,0.49,-1.2,D,2M,Simbad,3011909076894669312,85.62805647973,-9.88417912039,445.65164200,431.43716400,457.72842400,445.15295400,431.75427200,456.42550700,10033
0.423012,85.763125,-9.8700278,66,05 43 03.15,-09 52 12.1,12.85,0.03,11.84,0.03,11.38,0.03,10.63,0.01,10.22,0.01,9.65,0.01,9.03,0.01,6.92,0.02,0.29,-0.96,D,2M,Simbad,3011914471373583616,85.76323019891,-9.87008316578,309.54892000,272.85620100,350.09973100,287.78988600,258.47354100,349.19516000,10033
