_RAJ2000,_DEJ2000,SST,l_[3.6],[3.6],l_[4.5],[4.5],l_[5.8],[5.8],l_[8.0],[8.0],l_[24],[24],l_[70],[70],l_[160],[160],IRAC,2M,SimbadName,Class,SpType,EW,AV,l_LIR/L,LIR/L,_RA,_DE
66.11,26.830556,042426.4+264950,,11.16,,10.88,,10.51,,9.83,,6.78,>,0.77,,,yes,1,[MDM2001] CFHT-BD-Tau 9,II,M6.25,,0.5,,0.11,66.11,26.8306
66.185417,26.170556,042444.5+261014,,8.08,,7.57,,7.14,,6.32,,3.53,,0.16,,-2.47,yes,1,IRAS04216+2603,II,M1,,3.4,,0.29,66.1854,26.1706
66.1875,27.028889,042445.0+270144,,10.21,,10.15,,10.06,,10.11,>,9.49,>,1.05,,,no,1,[HJS91] 4423,III,M5,,0.1,<,9.5E-4,66.1875,27.0289
66.204167,26.719444,042449.0+264310,,7.73,,7.7,,7.69,,7.65,,7.4,>,1.02,,,no,1,[WKS96] RX J0424.8+2643A,III,K1,,1.2,<,6.1E-5,66.2042,26.7194
66.2375,27.198889,042457.0+271156,,7.77,,7.45,,7.24,,6.6,,3.48,,0.74,,,yes,1,IP Tau,II,M0,,1.9,,0.1,66.2375,27.1989
66.323333,26.297222,042517.6+261750,,8.21,,8.2,,8.08,,8.06,,7.77,>,1.1,,,no,1,[HJS91] 4872,III,K7,,3.7,<,2.6E-5,66.3233,26.2972
66.622083,26.403611,042629.3+262413,,11.41,,10.99,,10.49,,9.72,,6.86,>,1.09,,,yes,1,[BLH2002] KPNO-Tau 3,II,M6,,1.6,,0.13,66.6221,26.4036
66.627083,24.731944,042630.5+244355,,12.57,,12.21,,11.76,,11.08,,8.87,>,1.09,,,yes,1,2MASS J04263055+2443558,II,M8.75,,0.6,,0.16,66.6271,24.7319
66.722917,26.115,042653.5+260654,<,6.62,<,6.1,,5.23,,4.56,,1.54,,-0.45,,,,1,FV Tau,II,K5,,8.7,,0.13,66.7229,26.115
66.726667,26.114167,042654.4+260651,,8.01,,7.58,,7.05,,6.29,,3.88,>,0.72,>,-1.64,yes,1,CoKu FV Tau c,II,M3.5,,5.9,,0.096,66.7267,26.1142
66.734167,24.726389,042656.2+244335,,7.61,,6.32,,5.38,,4.5,<,0.45,,-2.25,,-4.63,yes,1,IRAS04239+2436,I,,,,,,66.7342,24.7264
66.73875,26.107778,042657.3+260628,,8.75,,8.33,,7.99,,7.35,,5.32,>,0.93,>,-2.25,yes,1,[BLH2002] KPNO-Tau 13,II,M5,,4.3,,0.078,66.7387,26.1078
66.760833,26.091667,042702.6+260530,,8.77,,,,5.88,,5.24,,0.78,,-2.24,,-5.12,,2,NAME DG Tau B,I,,,,,,66.7608,26.0917
66.761667,25.706111,042702.8+254222,<,6.62,<,6.1,,5.08,,4.5,,2.19,,0.7,,,,1,DF Tau,II,M3,,2.4,,0.11,66.7617,25.7061
66.769167,26.104444,042704.6+260616,<,6.62,<,6.1,,4.67,,3.55,<,0.45,<,-2.3,<,-4.46,,1,DG Tau,II,K5e,-90.7,3.2,,0.2,66.7692,26.1044
66.86625,26.201389,042727.9+261205,,12.57,,12.37,,12.21,,12.08,,10.66,>,1.05,,,no,1,[BLH2002] KPNO-Tau 4,II,M9.5,,2.8,,0.037,66.8662,26.2014
