angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
0.325178,69.565,23.040833,181,043815.6+230227,RXJ0438.2+2302,,9.69,0.05,,9.69,0.05,,9.64,0.05,,9.6,0.05,>,9.35,,>,1.08,,,,,,,,no,no,,1,RXJ0438.2+2302,,star,III,M1,,0.3,-0.7,<,7.8E-4,,69.565,23.0408,146675954953119104,69.56505447855,23.04090813808,125.69461100,125.43647800,125.94194800,125.83858500,125.59161400,126.10383600,10033
0.741554,69.58875,26.153611,182,043821.3+260913,GM Tau,,9.27,0.05,,8.77,0.05,,8.43,0.05,,7.81,0.05,,5.33,0.04,>,0.97,,>,-1.31,,,yes,yes,yes,yes,,1,GM Tau,yso,class II,II,,,,,,,c,69.5887,26.1536,148449845165337600,69.58893967777,26.15372694431,138.11439500,136.89810200,139.41653400,138.12704500,137.04510500,139.43862900,10033
1.292148,69.61875,26.180278,183,043828.5+261049,DO Tau,<,6.62,,<,6.1,,,5.26,0.05,,4.77,0.05,,1.09,0.04,,-1.37,0.22,,-3.92,0.34,yes,yes,yes,,,,1,DO Tau,,,II,M0,,4.9,0.3,,0.28,,69.6187,26.1803,148449913884294528,69.61914793114,26.18031412495,138.38803100,137.73654200,139.10069300,138.42916900,137.74607800,139.19000200,10033
1.327465,69.646667,26.177222,184,043835.2+261038,HV Tau AB,,7.65,0.05,,7.59,0.05,,7.49,0.05,,7.46,0.05,,,,>,0.72,,>,-3.65,,,,,no,no,,1,HV Tau AB,,star,III,M1,,2.5,0.1,<,0.0012,,69.6467,26.1772,148450085683504896,69.64706733088,26.17730503100,137.37225300,136.22604400,138.37124600,137.33688400,136.26826500,138.47593700,10033
1.546313,69.74375,23.609722,186,043858.5+233635,J0438586+2336352,,10.51,0.05,,,,,9.84,0.05,,,,,6.39,0.05,>,0.85,,,,,,yes,,,,,1,[SCH2006b] J0438586+2336352,,,II,M4.25,,0.0,-1.3,,0.085,,69.7437,23.6097,146767764173923328,69.74421535765,23.60967026952,125.44235200,124.49506400,126.28660600,125.71142600,124.82489800,126.71661400,10021
0.850198,69.756667,23.600556,187,043901.6+233602,J0439016+2336030,,9.76,0.05,,,,,9.18,0.05,,,,,6.28,0.05,>,2.3,,,,,,yes,,,,,1,[SCH2006b] J0439016+2336030,,,II,M6,-3.3,0.9,-1.0,,0.044,,69.7567,23.6006,146764809236423808,69.75684709578,23.60072493440,125.87552600,125.42216500,126.27668800,125.81087500,125.43518800,126.23161300,10033
0.928459,69.76625,25.740556,188,043903.9+254426,CFHT-6,,10.75,0.05,,10.45,0.05,,10.02,0.06,,9.14,0.05,,6.51,0.05,>,0.47,,>,-0.54,,,yes,yes,yes,yes,c,1,[MDM2001] CFHT-BD-Tau 6,yso,class II,II,M7.25,,1.3,-1.5,,0.12,,69.7662,25.7406,148354733113981696,69.76653630984,25.74055774969,139.79936200,137.16535900,142.72399900,139.94123800,136.95346100,143.39547700,10011
1.340785,69.77625,23.571389,189,043906.3+233417,J0439064+2334179,,10.73,0.05,,,,,10.62,0.06,,,,>,9.32,,,,,,,,,,,,,,1,[SCH2006b] J0439064+2334179,,,III,M7.5,,0.0,-1.4,<,,,69.7762,23.5714,146764465639042176,69.77661704068,23.57154880102,124.15798200,123.30410000,125.17630000,124.37236800,123.52623700,125.57340200,10022
1.438145,69.82375,22.350833,191,043917.7+222103,LkCa 15,,7.61,0.05,,7.41,0.05,,7.23,0.05,,6.64,0.05,,3.11,0.04,,-0.4,0.22,,-2.47,0.22,yes,yes,yes,yes,yes,,1,LkCa 15,yso,class II,II,K5,,1.9,0.0,,0.1,,69.8237,22.3508,144936836795636864,69.82418064979,22.35086379228,156.45118700,155.87100200,157.22949200,156.49099700,155.91430700,157.07989500,10033
1.259216,69.9475,26.027778,194,043947.4+260140,CFHT-4,,9.54,0.05,,9.07,0.05,,8.6,0.05,,7.78,0.05,,4.95,0.04,>,0.91,,>,-4.76,,,yes,yes,yes,yes,,1,[MDM2001] CFHT-BD-Tau 4,yso,class II,II,M7,,4.4,-1.0,,0.14,,69.9475,26.0278,148400156688543104,69.94787454133,26.02787327808,139.52932700,135.88182100,143.61869800,,,,10000
0.807099,69.982083,25.750556,196,043955.7+254502,IC2087 IRS,<,6.62,,<,6.1,,<,3.49,,<,3.52,,<,0.45,,,-2.17,0.22,>,-5.41,,,,,,,c,1,NAME IC 2087 IR,,,flat,K4,,18.0,1.3,,0.41,,69.9821,25.7506,148374391180009600,69.98230194022,25.75044934243,144.16861000,141.21682700,147.55101000,,,,10000
0.183053,70.033333,26.090278,198,044008.0+260525,IRAS 04370+2559,,7.96,0.05,,7.38,0.05,,6.93,0.05,,5.93,0.05,,2.43,0.04,,0.75,0.22,>,-1.78,,yes,yes,yes,yes,yes,,1,IRAS 04370+2559,yso,class II,II,<M0,,13.1,0.0,,0.15,,70.0333,26.0903,148401565437820928,70.03338022352,26.09030604985,137.44148300,132.03164700,141.81921400,138.27911400,132.95185900,146.19749500,10011
1.285222,70.165417,25.318333,199,044039.7+251906,J04403979+2519061 AB,,9.84,0.05,,9.68,0.06,,9.62,0.05,,9.57,0.05,,7.55,0.05,>,1.0,,>,-2.43,,,yes,yes-faint,no,no,,1,2MASS J04403979+2519061,yso,star,III,M5.25,,3.6,-0.9,,0.0042,,70.1654,25.3183,148141775750936960,70.16580880191,25.31828807158,142.51121500,137.70748900,147.25129700,143.13800000,138.25064100,149.55659500,10011
0.409349,70.20625,25.855278,200,044049.5+255119,JH223,,8.9,0.05,,8.6,0.05,,8.24,0.05,,7.74,0.05,,5.13,0.04,,2.2,0.22,>,0.93,,yes,yes,yes,yes,yes,,1,JH223,yso,class II,II,M2,,1.5,-0.6,,0.08,,70.2062,25.8553,148381984682184192,70.20631650736,25.85518131742,140.30915800,139.93171700,140.78767400,140.33377100,139.92230200,140.77728300,10033
