angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
1.131142,69.9325,27.332222,118,043943.8+271956,w,,,11.19,0.05,,11.25,0.05,,11.14,0.06,,10.81,0.06,>,9.99,,,,,>,0.47,,,,,yes-faint,no,,1,,C,,star,III,K0-K2,1.2,2.5,-0.9,<,0.0014,needs add'l followup,b,69.9325,27.3322,04394387+2719564,69.932822,+27.332352,0.080,0.060,90,12.223,11.457,11.242,0.022,0.022,0.020,AAA,222,0,2451100.8565
1.371687,69.936667,26.031111,119,043944.8+260152,M,ITG 15,,8.47,0.05,,8.13,0.05,,7.69,0.05,,7.04,0.05,,3.96,0.04,,1.32,0.22,>,-2.26,,yes,yes,yes,yes,yes,"g,i",1,ITG 15,A+,yso,class II,II,M5,,4.4,-0.3,,0.072,new member,"d,f,l",69.9367,26.0311,04394488+2601527,69.937014,+26.031330,0.070,0.060,90,10.640,9.515,8.950,0.022,0.021,0.018,AAA,222,0,2451100.8575
1.055828,70.0025,23.9725,120,044000.6+235821,M,J04400067+2358211,,10.89,0.05,,10.64,0.05,,10.35,0.06,,9.7,0.06,,6.4,0.05,>,0.78,,>,1.15,,,yes,yes-faint,yes,yes,i,1,2MASS J04400067+2358211,A+,yso,class II,II,M6,,0.0,-1.5,,0.096,new member,f,70.0025,23.9725,04400067+2358211,70.002817,+23.972546,0.080,0.060,90,12.428,11.872,11.485,0.023,0.024,0.021,AAA,222,0,2451089.9556
0.867779,70.095,24.551944,121,044022.8+243307,M,,,13.06,0.06,,12.25,0.06,,11.43,0.06,,10.46,0.06,,6.52,0.05,>,0.83,,>,-0.91,,,no,no,yes-faint,yes,,1,,,yso,embedded,I,,,,,,,Xgal,c,70.095,24.5519,04402281+2433078,70.095059,+24.552179,0.130,0.120,162,16.885,15.863,14.703,0.158,0.146,0.107,CBA,222,0,2451100.8599
0.473536,70.095833,25.950556,122,044023.0+255702,w,,,10.68,0.05,,10.63,0.05,,10.57,0.06,,10.43,0.06,,9.36,0.22,>,0.92,,>,-1.37,,,yes,no,no,no,,1,,B-,yso,star,III,G0,1.0,7.4,-0.5,,2.2E-4,needs add'l followup,l,70.0958,25.9506,04402301+2557024,70.095875,+25.950682,0.060,0.060,90,12.507,11.351,10.887,0.025,0.024,0.020,AAA,222,0,2451100.8609
1.372457,70.201667,23.661389,123,044048.4+233941,p,,,13.52,0.06,,,,,13.55,0.08,,,,,9.35,0.2,>,1.12,,>,-0.74,,,yes-faint,,,,,1,,A-,,,II,K0,0.8,2.1,-1.9,,0.012,"possible,new member","b,n",70.2017,23.6614,04404848+2339417,70.202020,+23.661591,0.070,0.060,0,14.538,13.844,13.570,0.029,0.035,0.037,AAA,222,0,2451089.9650
0.600488,70.3525,25.731389,124,044124.6+254353,M,ITG 40,,10.43,0.05,,9.85,0.05,,9.39,0.05,,8.88,0.05,,5.64,0.04,>,0.95,,>,-2.01,,,yes,yes,yes,yes,"g,i",1,ITG 40,A+,yso,class II,flat,M3.5,,22.2,-0.8,,0.06,new member,"d,f",70.3525,25.7314,04412464+2543530,70.352685,+25.731396,0.080,0.080,45,16.710,13.535,11.752,0.137,0.035,0.021,BAA,222,0,2451100.8704
1.141743,70.501667,23.970278,126,044200.4+235813,M,,,14.19,0.06,,13.04,0.06,,11.53,0.06,,9.94,0.05,,5.62,0.04,,1.49,0.22,>,-0.12,,yes,no,yes-faint,yes-faint,no,,1,,,yso,embedded,I,,,,,,,Xgal,c,70.5017,23.9703,04420048+2358130,70.502014,+23.970285,0.230,0.190,3,16.932,15.873,15.391,0.158,0.130,0.154,CBB,222,0,2451089.9749
1.554906,70.67125,24.688056,127,044241.1+244117,w,CCDM J04427+2441AB,,7.61,0.05,,7.55,0.05,,7.54,0.05,,7.52,0.05,,6.9,0.05,>,1.06,,>,-1.45,,,no,yes,no,no,,1,CCDM J04427+2441AB,B+,yso,star,III,A0,9.8,,,,,needs add'l followup,l,70.6712,24.6881,04424119+2441178,70.671643,+24.688299,0.220,0.100,90,7.965,7.732,7.600,0.020,0.021,0.024,AAA,111,0,2451138.7580
1.030429,70.724583,25.619167,128,044253.9+253709,w,,,12.84,0.06,,12.79,0.06,,12.61,0.07,,12.48,0.08,,9.64,0.24,>,1.01,,>,0.95,,,yes,no,no,no,,1,,B,not yso,star,III,F5,3.3,2.2,-1.5,,0.0043,needs add'l followup,n,70.7246,25.6192,04425395+2537097,70.724809,+25.619368,0.210,0.090,90,13.729,13.204,12.958,0.025,0.029,0.032,AAA,222,0,2451138.7573
1.122717,70.815833,23.899444,129,044315.8+235358,w,,,12.94,0.06,,11.87,0.05,,10.78,0.06,,9.76,0.06,,6.49,0.05,>,0.95,,>,-0.89,,,no,yes-faint,yes-faint,yes,,1,,C-,yso,embedded,I,,,,,,,pending followup,,70.8158,23.8994,04431587+2353585,70.816129,+23.899599,0.160,0.150,132,17.035,15.698,14.873,0.205,0.152,0.121,DBB,222,0,2451138.7589
1.208259,70.854583,25.951667,130,044325.1+255706,w,,,9.35,0.05,,9.33,0.05,,9.2,0.05,,9.17,0.05,,8.59,0.12,>,0.87,,>,-0.81,,,no,yes,no,no,,1,,B+,yso,star,III,K7-M0,0.5,0.2,-0.5,,2.0E-4,needs add'l followup,"b,l",70.8546,25.9517,04432518+2557063,70.854940,+25.951765,0.080,0.060,0,10.286,9.591,9.451,0.049,0.060,0.016,AAA,222,0,2451138.7604
1.130036,70.93875,24.652222,131,044345.3+243908,w,TYC 1834-591-1,,9.49,0.05,,9.46,0.05,,9.42,0.05,,9.43,0.05,,8.31,0.09,>,1.04,,>,0.07,,,yes,yes,no,no,,1,TYC 1834-591-1,B,yso,star,III,,,,,,,pending followup,"c,m",70.9387,24.6522,04434534+2439089,70.938928,+24.652491,0.130,0.080,90,9.733,9.555,9.455,0.019,0.019,0.018,AAA,222,0,2451138.7676
0.405884,70.992917,23.850833,132,044358.3+235103,w,,,6.85,0.05,,6.73,0.05,,6.23,0.05,,6.19,0.05,,6.1,0.04,>,0.81,,>,0.05,,,no,no,yes,no,,1,,C-,yso,star,III,M3,1.4,3.7,0.8,<,9.5E-6,needs add'l followup,"b,k",70.9929,23.8508,04435831+2351033,70.992959,+23.850939,0.090,0.070,90,7.805,6.737,6.438,0.030,0.024,0.026,AAA,111,0,2450753.8393
0.683696,71.325833,24.41,133,044518.2+242436,w,HD 30067,,7.99,0.05,,8.02,0.05,,7.96,0.06,,7.95,0.05,,7.39,0.06,>,0.6,,>,-0.65,,,no,yes,no,no,,1,HD 30067,B+,yso,star,III,A4V,10.6,,,,,needs add'l followup,"l,m",71.3258,24.41,04451823+2424364,71.325984,+24.410131,0.060,0.060,90,8.111,8.021,7.954,0.019,0.021,0.026,AAA,111,0,2450785.7207
1.016850,71.415833,25.284444,134,044539.8+251704,w,,,8.28,0.05,,8.33,0.05,,8.08,0.05,,8.0,0.05,,7.31,0.05,>,1.02,,>,-0.35,,,yes,yes,no,no,h,1,,B,yso,star,III,M5,0.0,4.9,-0.1,<,7.3E-5,needs add'l followup,"b,c,e,k,l",71.4158,25.2844,04453986+2517045,71.416097,+25.284595,0.060,0.060,90,10.095,8.916,8.464,0.020,0.021,0.021,AAA,212,0,2450785.7214
0.947428,71.46125,25.746667,135,044550.7+254448,M,,,12.91,0.06,,11.94,0.05,,11.05,0.06,,10.09,0.06,,6.82,0.05,>,1.06,,>,-1.01,,,no,no,yes-faint,yes,,1,,,yso,embedded,flat,,,,,,,Xgal,c,71.4612,25.7467,04455075+2544485,71.461496,+25.746809,0.330,0.320,71,16.619,16.360,15.068,,0.270,0.126,UDB,022,0,2450785.7283
1.211076,71.482083,26.316111,136,044555.7+261858,p,,,10.99,0.05,,11.04,0.05,,10.91,0.06,,10.79,0.06,,9.0,0.16,,2.4,0.22,>,-0.43,,yes-faint,yes,no,no,no,,1,,A,not yso,star,II,K4,1.3,2.4,-1.0,,0.021,"possible,new member","b,c",71.4821,26.3161,04455576+2618588,71.482339,+26.316357,0.060,0.060,90,12.113,11.283,11.101,0.021,0.018,0.018,AAA,222,0,2450785.7279
0.726086,71.4875,24.678333,137,044557.0+244042,w,,,13.12,0.06,,12.94,0.06,,12.62,0.07,,12.12,0.07,>,10.06,,>,0.82,,>,-0.13,,,,,no,yes,,1,,B-,,class II,III,K2,1.5,1.8,-1.9,,0.015,needs add'l followup,"b,e,n",71.4875,24.6783,04455704+2440423,71.487694,+24.678431,0.060,0.060,90,14.384,13.683,13.345,0.030,0.028,0.026,AAA,222,0,2450785.7291
1.125814,71.54,24.876944,138,044609.6+245237,p,,,12.78,0.06,,12.69,0.06,,12.53,0.07,,12.43,0.07,,9.19,0.21,>,0.87,,>,-1.49,,,yes,no,no,no,,1,,A-,not yso,star,II,early G,2.4,5.4,-1.4,,0.0043,"possible,new member","b,c,n",71.54,24.8769,04460966+2452377,71.540265,+24.877144,0.060,0.060,0,14.365,13.421,13.073,0.030,0.031,0.030,AAA,222,0,2450785.7289
0.832110,71.665833,24.423889,139,044639.8+242526,w,,<,6.62,,<,6.1,,,5.44,0.05,,5.27,0.05,,4.41,0.04,>,1.1,,>,0.12,,,yes,yes,,,h,1,,C-,,,III,M5,0.0,4.5,1.0,<,1.8E-4,needs add'l followup,"b,e,k,l",71.6658,24.4239,04463986+2425260,71.666086,+24.423908,0.080,0.060,0,7.398,6.270,5.869,0.020,0.017,0.021,AAA,111,0,2450785.7304
0.826946,71.685,26.385,140,044644.4+262306,w,,<,6.62,,,6.17,0.05,,5.98,0.05,,5.82,0.05,,4.91,0.04,>,1.01,,>,-3.17,,,yes,yes,no,,,1,,B+,,,III,M4,0.0,3.7,0.8,<,1.8E-4,needs add'l followup,"b,k,l",71.685,26.385,04464445+2623064,71.685220,+26.385118,0.060,0.060,0,7.645,6.596,6.202,0.018,0.018,0.026,AAA,111,0,2450785.7319
1.558179,71.709583,24.6375,141,044650.3+243815,w,,,13.5,0.06,,13.11,0.22,,13.52,0.09,,13.22,0.11,,10.53,0.25,>,0.88,,>,0.29,,,yes-faint,no,no,yes,,1,,B-,not yso,star,III,K0-K1 w/ Av,2.1,1.8,-2.0,,0.0079,needs add'l followup,"b,n",71.7096,24.6375,04465039+2438158,71.709980,+24.637739,0.070,0.060,0,14.564,13.902,13.713,0.032,0.035,0.041,AAA,222,0,2450785.7306
0.520017,72.009583,25.566389,142,044802.3+253359,w,,,10.05,0.05,,10.06,0.05,,9.92,0.06,,9.9,0.06,,9.33,0.21,>,1.03,,>,-1.34,,,no,yes-faint,no,no,,1,,B,yso,star,III,K0-K1 w/ Av,0.0,5.9,-0.4,,8.0E-5,needs add'l followup,"b,l",72.0096,25.5664,04480233+2533592,72.009726,+25.566454,0.060,0.060,90,11.831,10.703,10.290,0.022,0.021,0.018,AAA,222,0,2450785.7478
1.310396,72.134583,23.796111,143,044832.3+234746,w,,,12.89,0.06,,11.95,0.05,,11.05,0.06,,9.93,0.06,,6.3,0.05,>,0.92,,>,-1.88,,,no,yes-faint,yes-faint,yes,,1,,C,yso,embedded,I,,,,,,,pending followup,,72.1346,23.7961,04483237+2347468,72.134884,+23.796349,0.170,0.160,7,16.979,15.874,14.888,0.176,0.152,0.122,CBB,222,0,2450753.8942
1.019553,72.239167,25.981389,144,044857.4+255853,p,2MASX 04485745+2558527,,13.3,0.06,,13.26,0.06,,12.94,0.08,,12.56,0.07,,9.6,0.25,>,1.0,,>,-1.03,,,yes-faint,no,no,no,,1,2MASX J04485745+2558527,B+,not yso,class II,II,K,0.0,5.0,-1.9,,0.015,"possible,new member","b,c,n",72.2392,25.9814,04485747+2558530,72.239482,+25.981394,0.060,0.060,90,15.262,14.236,13.766,0.052,0.055,0.060,AAA,222,0,2450785.7509
1.278357,72.250417,24.229444,145,044900.1+241346,M,,,14.28,0.06,,13.82,0.06,,13.14,0.08,,10.41,0.06,,6.21,0.05,,1.78,0.22,>,-0.85,,yes,no,yes-faint,no,no,,1,,,yso,contam.,I,,,,,,,Xgal,c,72.2504,24.2294,04490016+2413468,72.250705,+24.229683,0.230,0.220,78,16.821,15.759,15.376,0.171,0.135,0.137,CBB,222,0,2450785.7656
0.922900,72.307083,25.430278,146,044913.7+252549,w,,,13.49,0.06,,12.81,0.18,,13.37,0.09,,11.91,0.06,>,9.24,,>,0.83,,>,-1.04,,,,,no,yes,,1,,C-,,contam.,III,F6,2.6,4.5,-1.6,,0.011,needs add'l followup,"b,n",72.3071,25.4303,04491375+2525494,72.307325,+25.430412,0.060,0.060,90,14.686,13.874,13.634,0.032,0.036,0.036,AAA,222,0,2450785.7647
0.615194,72.317917,24.640833,147,044916.3+243827,w,CCDM J04493+2438A,,8.92,0.05,,8.93,0.05,,8.87,0.05,,8.86,0.05,,8.35,0.09,>,0.88,,>,-0.57,,,no,yes,no,no,,1,CCDM J04493+2438A,C,yso,star,III,K2 w/ Av,1.6,0.5,-0.2,,1.8E-4,needs add'l followup,"b,j",72.3179,24.6408,04491634+2438272,72.318089,+24.640902,0.070,0.060,0,9.726,9.181,8.965,0.022,0.023,0.017,AAA,222,0,2450785.7653
1.217699,72.422917,25.669444,148,044941.5+254010,w,,,12.8,0.06,,12.73,0.06,,12.59,0.07,,12.61,0.09,,9.56,0.26,>,0.76,,,,,,yes,no,no,no,,1,,B+,not yso,star,III,M3,0.0,1.5,-2.0,,0.011,needs add'l followup,"b,c,k",72.4229,25.6694,04494158+2540104,72.423263,+25.669575,0.080,0.060,0,14.251,13.435,13.060,0.028,0.035,0.026,AAA,222,0,2450785.7676
