angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.700459,64.742083,28.206389,48,041858.1+281223,IRAS04158+2805,,9.23,0.05,,8.54,0.05,,7.85,0.06,,6.84,0.05,,2.73,0.04,,-0.07,0.22,,-2.51,0.22,yes,yes,yes,yes,yes,,1,IRAS04158+2805,yso,class II,flat,M6,,7.0,-1.3,,0.76,,64.7421,28.2064,04185813+2812234,64.742242,+28.206524,0.060,0.060,90,13.778,12.346,11.176,0.030,0.031,0.020,AAA,222,0,2450781.7366
0.094755,64.754583,28.328333,49,041901.1+281942,V410 X-ray 6,,8.76,0.05,,8.67,0.05,,8.54,0.05,,8.26,0.05,,3.82,0.04,,0.69,0.22,,,,yes,yes,yes,yes,no,,1,[SS94] V410 X-ray 6,yso,star,II,M4.5,,2.7,-0.5,,0.082,,64.7546,28.3283,04190110+2819420,64.754609,+28.328346,0.060,0.060,90,10.527,9.597,9.129,0.022,0.024,0.021,AAA,222,0,2450781.7367
1.160880,64.755,28.046667,50,041901.2+280248,KPNO-12,,13.97,0.06,,13.61,0.06,,13.23,0.08,,12.75,0.08,>,10.13,,>,1.74,,>,-0.54,,,,,no,no,,1,[BLH2002] KPNO-Tau 12,,class II,II,M9,,1.4,-2.9,,0.12,,64.755,28.0467,04190126+2802487,64.755291,+28.046862,0.100,0.090,90,16.305,15.483,14.927,0.086,0.096,0.092,AAA,222,0,2450781.7365
1.013163,64.757917,28.375833,51,041901.9+282233,V410 Tau X-ray 5a,,9.64,0.05,,9.55,0.05,,9.43,0.05,,9.39,0.05,,8.88,0.12,>,1.59,,>,-1.28,,,yes,yes,no,no,,1,[SS94] V410 X-ray 5a,yso,star,III,M5,,5.1,-0.8,<,1.5E-4,,64.7579,28.3758,04190197+2822332,64.758230,+28.375891,0.060,0.060,90,11.989,10.785,10.153,0.021,0.024,0.018,AAA,222,0,2450781.7367
0.175016,64.803333,28.4925,52,041912.8+282933,FQ Tau AB,,8.78,0.05,,8.42,0.05,,8.12,0.05,,7.41,0.05,,4.85,0.04,,2.16,0.22,,,,yes,yes,yes,yes,yes,,1,FQ Tau,yso,class II,II,M2,,1.1,-0.6,,0.086,,64.8033,28.4925,04191281+2829330,64.803379,+28.492527,0.060,0.060,90,10.491,9.702,9.313,0.026,0.024,0.022,AAA,222,0,2450781.7368
1.052817,64.815833,29.107222,53,041915.8+290626,BP Tau,,7.27,0.05,,6.9,0.05,,6.65,0.05,,5.71,0.05,,2.52,0.04,,0.71,0.22,,,,yes,yes,yes,yes,yes,,1,BP Tau,yso,class II,II,K7,,2.1,0.2,,0.094,,64.8158,29.1072,04191583+2906269,64.815984,+29.107483,0.060,0.060,0,9.098,8.220,7.736,0.037,0.024,0.023,AAA,111,0,2450781.7389
0.842973,64.859167,28.437222,54,041926.2+282614,V819 Tau,,8.2,0.05,,8.29,0.05,,8.11,0.05,,8.06,0.05,,6.29,0.05,,,,,,,,yes,yes,no,no,,1,V819 Tau,yso,star,III,K7,,1.9,0.0,,0.0018,,64.8592,28.4372,04192625+2826142,64.859416,+28.437305,0.060,0.060,90,9.502,8.648,8.424,0.021,0.020,0.017,AAA,212,0,2450781.7394
1.087520,64.8975,28.455833,55,041935.4+282721,FR Tau,,9.42,0.05,,8.93,0.05,,8.25,0.05,,7.27,0.05,,4.84,0.04,,3.14,0.22,,,,yes,yes,yes,yes,yes,,1,FR Tau,yso,class II,II,M5e,-58.9,0.0,-0.9,,0.17,b,64.8975,28.4558,04193545+2827218,64.897728,+28.456059,0.060,0.060,90,10.954,10.374,9.971,0.021,0.022,0.018,AAA,222,0,2450781.7394
1.071625,64.921667,27.83,56,041941.2+274948,LkCa 7 AB,,8.11,0.05,,8.11,0.05,,8.04,0.05,,7.99,0.05,,7.75,0.06,>,1.94,,,,,,no,no,no,no,,1,LkCa 7,yso,star,III,K7,,1.0,0.0,<,6.1E-5,,64.9217,27.83,04194127+2749484,64.921967,+27.830135,0.070,0.060,0,9.126,8.381,8.256,0.023,0.023,0.020,AAA,212,0,2450781.7398
0.663329,64.993333,27.165833,58,041958.4+270957,IRAS04169+2702,,8.41,0.05,,7.15,0.05,,6.29,0.05,,5.33,0.05,,0.66,0.04,<,-2.3,,,-5.4,0.34,,yes,yes,yes,yes,,1,IRAS04169+2702,yso,embedded,I,,,,,,,c,64.9933,27.1658,04195844+2709570,64.993539,+27.165852,0.080,0.080,73,17.191,14.158,11.583,,0.058,0.023,UAA,022,1,2450781.7455
