angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.732720,64.412083,28.55,27,041738.9+283300,LkCa 5,,8.93,0.05,,,,,8.8,0.05,,,,,8.66,0.09,>,1.61,,,,,,no,,,,,1,LkCa 5,,,III,M2,,0.2,-0.5,<,5.7E-5,,64.4121,28.55,04173893+2833005,64.412249,+28.550142,0.080,0.060,0,9.975,9.288,9.054,0.021,0.025,0.021,AAA,222,0,2450781.7272
1.110307,64.45625,28.225278,28,041749.5+281331,KPNO-10,,10.82,0.05,,10.36,0.05,,9.81,0.05,,8.89,0.05,,5.96,0.04,,1.92,0.22,,,,yes,yes,yes,yes,yes,,1,[BLH2002] KPNO-Tau 10,yso,class II,II,M5,,1.1,-1.2,,0.12,,64.4562,28.2253,04174955+2813318,64.456474,+28.225515,0.090,0.060,0,11.889,11.140,10.792,0.021,0.022,0.019,AAA,222,0,2450781.7269
0.767289,64.456667,28.493333,29,041749.6+282936,V410 X-ray 1,,8.41,0.05,,7.85,0.05,,7.42,0.05,,6.47,0.05,,3.78,0.04,,2.95,0.22,,,,yes,yes,yes,yes,yes,,1,[SS94] V410 X-ray 1,yso,class II,II,M2,,5.5,-0.3,,0.12,,64.4567,28.4933,04174965+2829362,64.456894,+28.493408,0.080,0.060,0,11.020,9.733,9.081,0.021,0.027,0.019,AAA,222,0,2450781.7271
1.101338,64.532917,28.434167,30,041807.9+282603,V410 X-ray 3,,10.04,0.05,,9.94,0.05,,9.9,0.06,,9.8,0.05,,9.27,0.21,>,1.79,,,,,,yes,yes-faint,no,no,,1,[SS94] V410 X-ray 3,yso,star,III,M6,,0.8,-1.1,<,2.5E-4,,64.5329,28.4342,04180796+2826036,64.533186,+28.434361,0.080,0.060,0,11.544,10.817,10.446,0.021,0.022,0.019,AAA,222,0,2450781.7271
0.925552,64.57125,28.478056,31,041817.1+282841,V410 Anon 13,,10.23,0.05,,9.94,0.05,,9.49,0.05,,8.81,0.05,,6.04,0.04,,,,>,-0.57,,,yes,yes,yes,yes,,1,[SS94] V410 Anon 13,yso,class II,II,M5,,5.9,-1.1,,0.068,,64.5712,28.4781,04181710+2828419,64.571277,+28.478312,0.070,0.060,0,12.954,11.659,10.958,0.022,0.022,0.017,AAA,222,0,2450781.7297
1.363785,64.592917,28.410278,32,041822.3+282437,V410 Anon 24,,9.84,0.05,,9.54,0.05,,9.34,0.05,,9.38,0.05,,9.29,0.1,>,1.6,,>,1.5,,,yes,no,no,no,,1,[SS94] V410 Anon 24,yso,star,II,G1,,22.5,0.1,<,5.8E-6,,64.5929,28.4103,04182239+2824375,64.593310,+28.410433,0.070,0.060,0,15.151,12.263,10.732,0.040,0.023,0.017,AAA,222,0,2450781.7297
1.293531,64.620833,28.438611,33,041829.0+282619,V410 Anon 25,,8.87,0.05,,8.64,0.05,,8.46,0.05,,8.39,0.05,,8.15,0.08,>,1.67,,>,0.12,,,yes,no,no,no,,1,[SS94] V410 Anon 25,yso,star,II,M1,,22.9,0.0,<,1.2E-5,,64.6208,28.4386,04182909+2826191,64.621240,+28.438643,0.070,0.060,0,14.905,11.631,9.936,0.036,0.023,0.018,AAA,222,0,2450781.7297
0.838991,64.62625,27.722222,34,041830.3+274320,KPNO-11,,10.71,0.05,,10.59,0.05,,10.6,0.06,,10.5,0.06,>,10.01,,>,1.46,,,,,,,,no,no,,1,[BLH2002] KPNO-Tau 11,,star,III,M5.5,,0.0,-1.3,<,0.0018,,64.6262,27.7222,04183030+2743208,64.626275,+27.722454,0.060,0.060,0,11.886,11.271,11.007,0.021,0.027,0.021,AAA,222,0,2450781.7302
0.224006,64.629583,28.454444,35,041831.1+282716,V410 Tau ABC,,7.36,0.05,,7.34,0.05,,7.34,0.05,,7.25,0.05,,7.14,0.06,>,1.65,,,,,,no,no,no,no,,1,V* V410 Tau,yso,star,III,K3,,1.1,0.4,<,6.5E-5,,64.6296,28.4544,04183110+2827162,64.629589,+28.454506,0.070,0.060,0,8.449,7.789,7.629,0.018,0.021,0.026,AAA,111,0,2450781.7297
0.374548,64.629583,28.274722,36,041831.1+281629,DD Tau AB,<,6.62,,<,6.1,,,5.29,0.05,,4.48,0.05,,1.75,0.04,,-0.04,0.22,,,,yes,yes,yes,,,,1,DD Tau,,,II,M1,,4.3,0.1,,0.3,,64.6296,28.2747,04183112+2816290,64.629701,+28.274727,0.080,0.060,0,9.830,8.682,7.878,0.021,0.020,0.020,AAA,211,0,2450781.7298
1.260882,64.63125,28.282778,37,041831.5+281658,CZ Tau AB,,8.46,0.05,,7.63,0.05,,6.62,0.05,,5.0,0.05,,1.96,0.04,,1.45,0.22,,,,yes,yes,yes,yes,yes,,1,CZ Tau,yso,embedded,II,M1.5,,0.7,-0.6,,0.53,,64.6312,28.2828,04183158+2816585,64.631611,+28.282925,0.080,0.060,0,10.517,9.774,9.362,0.021,0.022,0.017,AAA,222,0,2450781.7298
0.598862,64.633333,28.520833,38,041832.0+283115,IRAS04154+2823,,7.57,0.05,,7.07,0.05,,6.12,0.05,,5.52,0.05,,1.91,0.04,,-0.38,0.22,,,,yes,yes,yes,yes,yes,,1,IRAS04154+2823,yso,class II,I,M2.5,,19.0,-0.6,,0.63,,64.6333,28.5208,04183203+2831153,64.633477,+28.520941,0.070,0.060,0,15.187,12.369,10.274,0.048,0.022,0.017,AAA,222,0,2450781.7296
0.660222,64.643333,28.508333,39,041834.4+283030,V410 X-ray 2,,8.35,0.05,,8.09,0.05,,7.8,0.05,,7.55,0.05,,3.41,0.04,,0.31,0.22,,,,yes,yes,yes,yes,no,,1,[SS94] V410 X-ray 2,yso,class II,flat,M0,,21.0,0.3,,0.024,,64.6433,28.5083,04183444+2830302,64.643529,+28.508396,0.070,0.060,0,13.773,10.708,9.215,0.026,0.022,0.017,AAA,222,0,2450781.7296
0.667911,64.6675,28.406667,40,041840.2+282424,V410 X-ray 4,,8.91,0.05,,8.64,0.05,,8.44,0.05,,8.43,0.05,,8.09,0.08,>,1.6,,>,-2.59,,,yes,no,no,no,,1,[SS94] V410 X-ray 4,yso,star,II,M4,,18.0,-0.1,<,6.3E-6,,64.6675,28.4067,04184023+2824245,64.667633,+28.406811,0.070,0.060,0,13.641,10.962,9.686,0.025,0.022,0.017,AAA,222,0,2450781.7297
0.563101,64.669167,28.320833,41,041840.6+281915,V892 Tau,<,6.62,,<,6.1,,,3.61,0.05,<,3.52,,<,0.45,,<,-2.3,,<,-4.9,,,,,,,"c,d",1,V892 Tau,,,flat,A6,-12.7,14.3,2.0,,0.089,,64.6692,28.3208,04184061+2819155,64.669239,+28.320976,0.080,0.060,0,8.742,7.016,5.787,0.027,0.029,0.016,AAA,111,0,2450781.7298
0.427416,64.672083,28.456944,42,041841.3+282725,LR1,,9.5,0.05,,8.92,0.05,,8.44,0.05,,7.95,0.05,,4.65,0.04,,0.38,0.22,>,-0.29,,yes,yes,yes,yes,yes,,1,LR1,yso,class II,flat,K4.5,,24.0,-0.3,,0.12,,64.6721,28.4569,04184133+2827250,64.672218,+28.456947,0.090,0.080,0,16.225,12.924,11.054,0.086,0.025,0.020,AAA,222,0,2450781.7297
0.851731,64.677083,28.313611,43,041842.5+281849,V410 X-ray 7,,8.73,0.05,,8.61,0.05,,8.35,0.05,,8.09,0.07,,5.15,0.01,>,-0.3,,>,-2.88,,,yes,yes,yes,no,,1,[SS94] V410 X-ray 7,yso,class II,II,M1,,10.3,-0.1,,0.0092,,64.6771,28.3136,04184250+2818498,64.677102,+28.313847,0.060,0.060,90,11.924,10.095,9.257,0.021,0.022,0.017,AAA,222,0,2450781.7367
1.118906,64.6875,28.347778,44,041845.0+282052,V410 Anon 20,,11.01,0.05,,10.74,0.05,,10.55,0.06,,10.57,0.06,>,10.2,,>,0.49,,>,-3.2,,,,,no,no,,1,[SS94] V410 Anon 20,,star,flat,K3,,21.6,-0.6,<,2.2E-4,,64.6875,28.3478,04184505+2820528,64.687746,+28.348001,0.080,0.080,90,16.399,13.410,11.929,0.087,0.029,0.018,AAA,222,0,2450781.7367
0.583760,64.695833,28.335278,45,041847.0+282007,Hubble 4,,7.09,0.05,,7.04,0.05,,6.95,0.05,,6.96,0.05,,6.78,0.01,>,0.18,,>,-4.19,,,no,no,no,no,,1,Hubble I 4,yso,star,III,K7,,2.5,0.4,<,6.0E-5,,64.6958,28.3353,04184703+2820073,64.695987,+28.335367,0.060,0.060,90,8.560,7.636,7.293,0.020,0.026,0.024,AAA,111,0,2450781.7367
0.780328,64.712917,28.2425,46,041851.1+281433,KPNO-2,,12.25,0.05,,12.11,0.06,,12.02,0.06,,11.84,0.07,>,9.59,,>,1.59,,,,,,,,no,no,,1,[BLH2002] KPNO-Tau 2,,star,III,M7.5,,0.3,-2.1,,0.0096,,64.7129,28.2425,04185115+2814332,64.713151,+28.242567,0.060,0.060,90,13.925,13.241,12.753,0.025,0.029,0.021,AAA,222,0,2450781.7366
1.135420,64.714167,28.340556,47,041851.4+282026,CoKu Tau/1,,10.22,0.05,,9.02,0.05,,7.72,0.05,,5.87,0.05,,1.07,0.04,,-0.98,0.22,<,-2.55,,yes,yes,yes,yes,yes,c,1,NAME CoKu Tau 1,yso,embedded,I,K7,,6.5,-0.9,,0.72,,64.7142,28.3406,04185147+2820264,64.714496,+28.340681,0.060,0.060,90,12.866,11.489,10.974,0.030,0.031,0.024,AAA,222,0,2450781.7367
