angDist,_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.292456,85.673125,-10.0183056,27,05 42 41.55,-10 01 05.9,14.49,0.03,13.31,0.03,12.55,0.03,11.31,0.01,10.94,0.01,10.55,0.01,10.33,0.01,8.19,0.06,0.29,-1.69,D,2M,Simbad,85.67313052465,-10.01838665527,0.0017063,0.0014070,84.40,3011894126112277248,85.67313427775,0.0871,-10.01839317774,0.0697,2.3471,0.1112,21.1118,1.687,0.832,0.105,-1.468,0.086,403,1.1043,466.30,0.183,5.393e-01,31,,,22,1.039,0,1.06786e+03,3.68555e+01,18.116081,2.20495e+02,2.85242e+01,19.480047,1.64831e+03,16.705300,1.750,2.774748,,,0,,,95970856731438336,,26370352,,0.037574,0.140483,0.101219,18.116081,0.037574,1.06786e+03,0.303,1.7037,1.4101,0.0377
0.126207,85.7710833,-10.0173611,28,05 43 05.06,-10 01 02.5,13.41,0.02,12.21,0.02,11.61,0.02,11.11,0.01,10.9,0.01,10.71,0.01,10.59,0.01,6.15,0.02,0.42,-2.23,D,2M,Simbad,85.77109270030,-10.01739491311,0.0014232,0.0013115,102.99,3011894710228218752,85.77109599850,0.0711,-10.01740240623,0.0668,2.2207,0.0948,23.4220,1.838,0.731,0.087,-1.686,0.080,385,-1.0503,568.29,0.427,4.908e+00,95,1.1518,0.0191,23,0.961,0,2.05684e+03,7.32646e+00,17.404364,2.54294e+02,8.99252e+00,19.325201,3.03479e+03,16.042572,1.599,3.282629,,,0,,,95970857710969541,,26370550,,0.004749,0.038496,0.012099,17.378773,0.004675,2.10590e+03,0.077,1.4178,1.3173,-0.0358
0.401124,85.65225,-10.0173056,29,05 42 36.54,-10 01 02.3,13.4,0.03,11.99,0.03,11.36,0.02,10.9,0.01,10.65,0.01,10.33,0.01,9.5,0.01,4.46,0.01,0.66,-1.24,D,2M,Simbad,85.65234093252,-10.01723929277,0.0023796,0.0020329,117.63,3011893821169847808,85.65234324786,0.1124,-10.01724441753,0.1062,2.2630,0.1467,15.4298,1.262,0.513,0.142,-1.153,0.128,366,0.4982,535.67,0.630,4.758e+00,95,1.1379,0.0290,21,1.018,0,1.14016e+03,2.68343e+00,18.044949,9.36443e+01,7.44669e+00,20.409838,1.93083e+03,16.533533,1.776,3.876305,,,0,,,95970856523519718,,26370348,,0.003758,0.086384,0.009929,18.019358,0.003718,1.16736e+03,0.171,2.3095,2.1123,-0.1288
0.099661,85.5637917,-10.0163333,30,05 42 15.31,-10 00 58.8,14.57,0.03,13.29,0.04,12.59,0.03,11.91,0.01,11.52,0.01,11.03,0.01,10.17,0.01,7.75,0.05,0.46,-0.83,D,2M,Simbad,85.56381697421,-10.01634542115,0.0042653,0.0039664,101.03,3011882272002718208,85.56381862395,0.2061,-10.01635409439,0.2054,1.3544,0.3066,4.4170,1.985,0.366,0.264,-1.951,0.242,365,3.1406,504.37,1.003,2.798e+00,95,1.2165,0.0609,21,1.119,0,3.75959e+02,1.36033e+00,19.249516,3.66760e+01,4.89596e+00,21.427586,6.47419e+02,17.719933,1.820,3.707653,,,0,,,95980855638430760,,26370336,,0.004798,0.144964,0.021039,19.223925,0.004724,3.84925e+02,0.238,4.2548,3.9777,-0.0273
0.322530,85.640875,-10.0146944,32,05 42 33.81,-10 00 52.9,15.22,0.05,13.52,0.04,12.38,0.03,10.55,0.01,9.58,0.01,8.53,0.01,6.98,0.01,2.39,0.01,0.67,1.26,P,2M,Simbad,85.64089978670,-10.01478060253,0.0248349,0.0156756,141.78,3011905567905394688,85.64089507024,1.0446,-10.01479923226,1.1222,0.8214,1.2198,0.6734,4.320,-1.045,1.188,-4.192,1.310,237,7.8565,480.39,4.702,7.739e+00,95,0.9963,0.2416,13,1.385,0,1.09264e+02,1.39800e+00,20.591175,3.72070e+01,8.48868e+00,21.411980,2.42136e+02,18.787745,2.557,2.624235,,,0,,,95980856408712690,,,,0.014162,0.247724,0.049905,20.571386,0.013916,1.11274e+02,1.132,19.6912,21.7888,-0.4203
0.224846,85.5665,-10.0113333,33,05 42 15.96,-10 00 40.8,14.52,0.04,12.84,0.02,12.03,0.03,11.04,0.01,10.56,0.01,9.99,0.01,9.28,0.01,6.35,0.02,0.87,-0.8,D,2M,Simbad,85.56655051891,-10.01137106063,0.0134073,0.0103359,59.99,3011905744000059008,85.56656183366,0.5776,-10.01137276788,0.5738,0.8005,0.8447,0.9477,2.536,2.507,0.782,-0.384,0.677,319,4.3207,460.95,2.849,3.952e+00,95,1.3297,0.1577,19,1.176,0,1.36599e+02,9.08385e-01,20.348745,3.78217e+01,6.32251e+00,21.394190,3.34347e+02,18.437403,2.725,2.956787,,,0,,,95980855665676747,,,,0.007728,0.181520,0.036404,20.323754,0.007575,1.39780e+02,1.250,12.7087,11.1837,0.2222
0.342159,85.6013333,-10.0103056,35,05 42 24.32,-10 00 37.1,13.67,0.03,12.55,0.03,11.8,0.02,10.68,0.01,10.15,0.01,9.79,0.01,9.18,0.01,6.8,0.03,0.22,-1.14,D,2M,Simbad,85.60130763526,-10.01039722227,0.0014554,0.0013158,140.31,3011905709640318848,85.60130912941,0.0674,-10.01040388183,0.0704,2.2351,0.1038,21.5346,1.535,0.331,0.085,-1.498,0.085,336,-0.9909,328.78,0.000,0.000e+00,31,,,21,0.961,0,1.95754e+03,1.88437e+01,17.458088,3.07188e+02,1.35191e+01,19.120033,2.65768e+03,16.186638,1.515,2.933395,,,0,,,95980856013237916,,26370338,,0.010809,0.047864,0.026741,17.458088,0.010809,1.95754e+03,0.044,1.3745,1.4001,-0.0988
0.461654,85.7704583,-10.0055278,38,05 43 04.91,-10 00 19.9,13.44,0.03,12.12,0.04,11.47,0.03,10.65,0.01,10.32,0.01,9.98,0.01,9.27,0.01,6.38,0.01,0.53,-1.25,D,2M,Simbad,85.77039407830,-10.00563935640,0.0033901,0.0031634,103.63,3011894714522990208,85.77039846090,0.1702,-10.00564787505,0.1760,2.1629,0.2444,8.8513,2.149,0.971,0.207,-1.917,0.192,282,1.1637,367.60,0.708,2.382e+00,95,1.1785,0.0455,17,1.049,0,5.81584e+02,1.08505e+01,18.775837,1.30074e+02,2.86162e+01,20.053066,1.74003e+03,16.646505,3.216,3.406561,,,0,,,,,,,0.020443,0.238877,0.053044,18.750246,0.019975,5.95455e+02,1.675,3.3779,3.1764,-0.0317
1.141723,85.7704583,-10.0055278,38,05 43 04.91,-10 00 19.9,13.44,0.03,12.12,0.04,11.47,0.03,10.65,0.01,10.32,0.01,9.98,0.01,9.27,0.01,6.38,0.01,0.53,-1.25,D,2M,Simbad,85.77071563319,-10.00533711782,0.0025262,0.0020783,115.90,3011894714524030848,85.77071772522,0.1298,-10.00534160697,0.1177,2.0155,0.1598,12.6093,1.111,0.464,0.149,-1.010,0.131,329,1.5921,492.62,0.671,5.036e+00,95,1.1543,0.0328,20,1.062,0,1.04516e+03,3.45300e+00,18.139414,1.03634e+02,6.74786e+00,20.299782,1.93749e+03,16.529797,1.953,3.769985,,,0,,,95990857706953982,,,,0.004523,0.070750,0.028515,18.113823,0.004457,1.07008e+03,0.363,2.4471,2.1709,-0.1525
0.090192,85.634625,-10.0048056,39,05 42 32.31,-10 00 17.3,15.37,0.04,14.62,0.05,14.07,0.07,13.46,0.01,13.12,0.01,12.58,0.03,11.79,0.02,,,0.0,-0.89,D,2M,Simbad,85.63461320324,-10.00482779693,0.0063443,0.0057991,117.45,3011905567905394944,85.63461669416,0.3004,-10.00483682945,0.2998,2.5020,0.4114,6.0810,2.175,0.774,0.381,-2.032,0.359,303,-1.2121,325.99,0.000,0.000e+00,95,1.0022,0.0920,19,0.950,0,2.50482e+02,1.14133e+00,19.690426,6.31062e+01,1.28556e+01,20.838362,4.18466e+02,18.193745,1.923,2.644617,,,0,,,95990856346304606,,,,0.005663,0.221196,0.025421,19.670294,0.005583,2.55170e+02,0.495,6.2324,5.9192,-0.0734
